Explicability Method Name,Task,DataSet,Model,AUC-ROC,AUC-PRC,Training Accuracy,Test Accuracy,"Test Accuracy(count, TP+TN)",Fidelity,Contrastivity,Sparsity,Saliency Map Generation Time,Avg. Training Time on 200 Epochs,Instance Specific Time
SA,GC,MUTAG,GCN+GAP,0.5386904761904762,0.7892090139140956,0.8066666666666666,0.6052631578947368,23,0.0029761904761904,0.2105263157894736,0.9078947368421052,0.2327561800000239,0.0193117322509991,"[0.001772329000004902, 0.0011246900000401183, 0.0008695699999634598, 0.0008628500000327222, 0.0008414099999640712, 0.0009565999999949781, 0.0007841499999585722, 0.0007717999999954372, 0.0007301499999812222, 0.0007073699999864402, 0.0007291599999916798, 0.0007350700000188226, 0.0007398600000101396, 0.0009442600000397761, 0.0007465599999818551, 0.0007164499999703366, 0.0007080400000063491, 0.0007436099999722501, 0.0007408890000419888, 0.0007394099999942227, 0.0007040700000402467, 0.0007346299999539951, 0.0007382599999914419, 0.0007821600000283979, 0.0006975889999694118, 0.0007268310000085876, 0.0007387200000152916, 0.0007292689999758295, 0.0011047400000165908, 0.0007280400000126974, 0.0008010899999817411, 0.0014643289999867193, 0.0009512190000009468, 0.0009487500000204818, 0.0009620799999652263, 0.0016920200000072327, 0.0007974909999575175, 0.0008297199999560689]"
GuidedBP,GC,MUTAG,GCN+GAP,0.5386904761904762,0.7892090139140956,0.8066666666666666,0.6052631578947368,23,0.1473214285714286,0.3157894736842105,0.8864265927977835,0.2906052220000674,0.0325851682169966,"[0.004335008999987622, 0.0020732900002258248, 0.0018185179997090017, 0.00179357999968488, 0.0012923139997838007, 0.0012399729998833209, 0.0012071470000591944, 0.0011605770000642224, 0.0011136829998577014, 0.0010880490003728482, 0.001112692999868159, 0.0011130839998259034, 0.0011545529996510595, 0.001124860999880184, 0.0010972390000461019, 0.0010691839997889474, 0.0011293760003354691, 0.0011316559998704179, 0.0011045719998037384, 0.0011322709997330094, 0.001128153000081511, 0.0011079219998464396, 0.0011312900001030357, 0.0011013630000888952, 0.001146548000178882, 0.0011696730002768163, 0.0011353569998391322, 0.0011194620001333533, 0.0011207390002709872, 0.0010795719999805442, 0.0011463949999779288, 0.001089282000066305, 0.0011649829998532368, 0.0010794009999699483, 0.00109779400008847, 0.0010693680001168104, 0.0010657879997779673, 0.0011246980002397322]"
CAM,GC,MUTAG,GCN+GAP,0.5386904761904762,0.7892090139140956,0.8066666666666666,0.6052631578947368,23,0.1398809523809523,0.3124575607420145,0.8620894341115948,0.1238186840000707,0.0300561149529992,"[0.0019028010000283757, 0.004305622999993375, 0.0018462300000123832, 0.001678880999975263, 0.0018563550000294526, 0.001405605000002197, 0.0013182910000182346, 0.001407072999995762, 0.001595167000004949, 0.0011784990000478501, 0.0011465480000083517, 0.0011387969999532288, 0.0011522890000037478, 0.0011187810000024, 0.0011067340000181503, 0.0011020549999898321, 0.001115905999995448, 0.0011188899999865498, 0.0011211259999868162, 0.00113449700000956, 0.001417102999994313, 0.0011742650000314825, 0.0011246459999938452, 0.0014454610000029788, 0.0014917150000428592, 0.0011598550000258001, 0.0011852090000274984, 0.0011271739999756392, 0.001246533999960775, 0.0012991579999948044, 0.0011469469999951798, 0.0011113869999803683, 0.0010991300000000592, 0.00111580100002584, 0.0011002749999988737, 0.0011087569999972402, 0.001093656000023202, 0.0010915809999687553]"
Grad-CAM,GC,MUTAG,GCN+GAP,0.5386904761904762,0.7892090139140956,0.8066666666666666,0.6052631578947368,23,0.0550595238095239,0.7649993917613638,0.4584487534626039,0.3563957029996345,0.0395829664619994,"[0.003397512000105962, 0.0017201489999933983, 0.0018860159999576354, 0.00399165599992557, 0.0017932839999730277, 0.0017016399999647547, 0.0017649310000251717, 0.003990765999901669, 0.001707411999973374, 0.0031672400000388734, 0.00169500300000891, 0.0037595899999587346, 0.0018235039999581204, 0.00423635800007105, 0.002256948999956876, 0.0017495280000048297, 0.0017217270000173812, 0.0017632100000355422, 0.0016576179999674423, 0.003339041999993242, 0.0018159889999651568, 0.0017163770000934164, 0.0016850360000262299, 0.0041952249999894775, 0.001664107999999942, 0.003587095000057161, 0.001652112999977362, 0.0016780810000227575, 0.0017107820000319407, 0.0016162140000233194, 0.0017742270000553617, 0.0017095660000450152, 0.0017597500000192667, 0.001578340000037315, 0.0017143150000720198, 0.0016592839999702846, 0.0016500409999480325, 0.0016355970000176967]"
GNNExplainer,GC,MUTAG,GCN+GAP,0.5386904761904762,0.7892090139140956,0.82,0.6052631578947368,23,0.306547619047619,0.7631578947368421,0.825055684219113,0.4777226302895111,0.0249166267980344,"[0.002656051001395099, 0.00435898900104803, 0.0014933500006009126, 0.002866310000172234, 0.0048388499999418855, 0.0015500200006499654, 0.0016595700017205672, 0.0012445899992599152, 0.0011680899988277815, 0.001116990000809892, 0.0010612300011416664, 0.0010987000005115988, 0.0012053899990860373, 0.0010540000002947636, 0.0016946899995673448, 0.0016173499989236007, 0.001196440000057919, 0.0011201309989701258, 0.0010781599994516, 0.0011886089996551163, 0.0010973600001307204, 0.0011174789997312473, 0.001127360001191846, 0.0011788000010710675, 0.0010725299998739501, 0.0011154999992868397, 0.0010938199993688613, 0.00228400000014517, 0.0013569399998232257, 0.0010852499999600695, 0.0011269299993728055, 0.0011084100005973596, 0.001287189999857219, 0.0013873600000806618, 0.001099380000596284, 0.0010682899992389139, 0.0010724399999162415, 0.0010784000005514827]"
PGExplainer,GC,MUTAG,GCN+GAP,0.5178571428571428,0.775375939849624,0.8,0.5789473684210527,22,0.0238095238095238,0.5111063298299485,0.4969577321013925,0.004115227789474,0.0163973761380011,"[0.001719579999985399, 0.0010765399999854708, 0.001021320000063497, 0.005517510000004222, 0.0013460399999303263, 0.0009811400000216963, 0.0008472099999607963, 0.001062408999928266, 0.0008763310000858837, 0.0007492899999306246, 0.0007444389999591294, 0.0007396700000299461, 0.0007422500000302534, 0.0007104400000343958, 0.0006931500000746382, 0.0007131100001060986, 0.000723791000041274, 0.0007390210000721709, 0.0006901990000187652, 0.0007020709999778774, 0.0006997890000093321, 0.0007270410000046468, 0.0009599799999477909, 0.000748009000062666, 0.000728190000018003, 0.0007349499999236286, 0.0007213399999272951, 0.0007301699999970879, 0.0007349500000373155, 0.0007342010000002119, 0.0007232300000623582, 0.0007532000000765038, 0.000745839999922282, 0.00071671000000606, 0.0007155600000032791, 0.0007787000000689659, 0.0007337800000186689, 0.0007141499999079315]"
GraphMask,GC,MUTAG,GCN+GAP,0.5238095238095238,0.7918788907753254,0.84,0.6052631578947368,23,0.1577380952380952,0.2678344200963107,0.5533755410603852,0.0426523458684187,0.0170158500330067,"[0.0027838890000566607, 0.0014689499998894462, 0.0012735800000882591, 0.0011220999999750347, 0.0009869800001069962, 0.0009027500000229338, 0.0010414399998808221, 0.001196779000110837, 0.0008632399999441986, 0.0008320399997501227, 0.0008132200000545708, 0.0007847990000300342, 0.0007489200002055441, 0.0007432399997924222, 0.0007767899996906635, 0.0007458999998561922, 0.0007435799998347647, 0.0007530200000473997, 0.0007665499997528968, 0.0007966499997564824, 0.0007631299999957264, 0.0007228599997688434, 0.0007739299999229843, 0.0009617800001251453, 0.0007390999999188352, 0.0006982600002629624, 0.000720640000054118, 0.0007462300000042887, 0.0007073100000525301, 0.0006892799997331167, 0.0007319000001189124, 0.0007556400000794383, 0.0007831699999769626, 0.000710109999999986, 0.0007263100001182465, 0.0007007200001680758, 0.0006996500001150707, 0.0007437799999934214]"
SubGraphX,GC,MUTAG,GCN+GAP,0.5238095238095238,0.7918788907753254,0.8266666666666667,0.6052631578947368,23,0.044642857142857,0.6116392508420372,0.7352941176470589,2.297070043999838,0.0212523473230011,"[0.0019406899998557492, 0.003977730000087831, 0.001302720000012414, 0.0010428289999708795, 0.0010781910000332573, 0.0011399300001357915, 0.0046895400000721565, 0.0013984299998810457, 0.0012743899999350106, 0.0013694599999780621, 0.004578799999990224, 0.0011471999998775573, 0.0010784700000385783, 0.0010840900001767295, 0.001073169999926904, 0.0010101899999881425, 0.0010481300000719784, 0.0035183900001811708, 0.001269020000108867, 0.0010681999999633263, 0.0012370399999781512, 0.001982120000093346, 0.0009902299998429953, 0.0009492199999385775, 0.0008741900001041358, 0.0008491799999319483, 0.0008496489999743062, 0.000768359999938184, 0.0008100709999325773, 0.0008219599999392813, 0.0008307909999984986, 0.0008029309999528778, 0.0007879489999140787, 0.0008358709999356506, 0.0008702600000560778, 0.0008304700002099707, 0.0008039699998789729, 0.0008249400000295282]"
LRP,GC,MUTAG,GCN+GAP,0.5803571428571428,0.8156833616298811,0.8,0.6578947368421053,25,0.0267857142857143,0.1842105263157894,0.9910961614562722,0.0241220209473663,0.0270605649489994,"[0.0030016150001301867, 0.0016564539998853434, 0.007214771999997538, 0.0017294699998728902, 0.0016136710000864696, 0.0016493359999003587, 0.006261591000111366, 0.0015067610002006404, 0.0014089050000620773, 0.0013127600000188977, 0.002702846000147474, 0.0016620750000129192, 0.0019427140000516374, 0.0015628730000116775, 0.0016208029999233986, 0.0015316270000766963, 0.0016311100000621082, 0.001606377000143766, 0.0015708509999967646, 0.0016966969999430148, 0.0020156190000761853, 0.001423015000000305, 0.0014033750001090084, 0.0014166660000682896, 0.0013913549998960661, 0.0013371540001116955, 0.0013371109998843167, 0.0013978540000607609, 0.0013320939999630355, 0.0013662569999723928, 0.0013745029998517566, 0.0013442269998904521, 0.0014206769999418611, 0.001339447999953336, 0.0013372609998896223, 0.001365686999861282, 0.001334606000000349, 0.001350396000134424]"
ExcitationBP,GC,MUTAG,GCN+GAP,0.4821428571428571,0.7642921960072595,0.7933333333333333,0.5526315789473685,21,0.0535714285714286,0.6799604894580147,0.564800158290463,0.0054385516315757,0.0334602824020001,"[0.020369636999930663, 0.002668844000027093, 0.0022091990000490114, 0.002164082999911443, 0.002081393000025855, 0.002054868999948667, 0.0021822260000590177, 0.0021087879999868164, 0.002047748999984833, 0.0020257740000033664, 0.002004743000043163, 0.0019689530000732702, 0.0020765220000384943, 0.0019208510000225942, 0.0019778380000161633, 0.0019170760000406517, 0.0020092180000119697, 0.0019045360000973233, 0.002313250000042899, 0.0019542879999789875, 0.0019615999999587075, 0.0023429149999856236, 0.0024666399999659916, 0.001876751999930093, 0.001907504999962839, 0.001858200000015131, 0.0018689190000031886, 0.0018746460000329535, 0.001918513999953575, 0.0018188420000342376, 0.0018792780000467246, 0.00180918399996699, 0.001855737000028057, 0.0018738090000169905, 0.0018363660000204618, 0.0018578839999463526, 0.0017184509999879083, 0.0015290480000658135]"
CFÂ²,GC,MUTAG,GCN+GAP,0.5803571428571428,0.8156833616298811,0.8,0.6578947368421053,25,0.1339285714285714,0.4753725161272929,0.5893642687777337,2.4026306744605272,0.030575896631001,"[0.002054356999906304, 0.0015375210000456718, 0.0016399399999045272, 0.0016352729999198345, 0.001458513999978095, 0.0013511390000076062, 0.0013081479999073053, 0.0013195029998769314, 0.0037087509999764734, 0.0017477290000442736, 0.0016413250000368862, 0.0016293779999614344, 0.0016877939999631053, 0.00166961399986576, 0.0012508039999374887, 0.0011061929999414133, 0.001188551000041116, 0.0012055660001806245, 0.0011578549999740062, 0.001301301000012245, 0.0012591639999754989, 0.0011186029998953018, 0.0011336830000345799, 0.0010937829999875248, 0.0011007010000412265, 0.0010825039998962893, 0.0010889319999023428, 0.0011619060001066828, 0.0011148570001751068, 0.00107401199988999, 0.0011673500000597414, 0.0019002320000254258, 0.0016204200001084246, 0.0015294570000605745, 0.0015746510000553826, 0.0015484939999623748, 0.0015339520000452467, 0.002682719999938854]"
